"respondent_id","gender","age","brand1","brand2","brand3","brand4","brand5","brand6","brand7","brand8","brand9","brand10"
77,"Male",29,"Dodge","Ford","Toyota","Renault","Fiat","Peugeot","Chrysler",,,
78,"Male",28,"Dodge","Renault","VW","Volvo",,,,,,
79,"Male",31,"Volvo",,,,,,,,,
80,"Male",24,"Hyundai","Volvo","Toyota","Audi","Lexus","Daewoo","Ford",,,
81,"Female",39,"Chrysler","Opel","VW",,,,,,,
82,"Female",55,"Volvo","Fiat",,,,,,,,
83,"Female",40,"Volvo","Peugeot","VW","Ford",,,,,,
84,"Male",,"VW","Porsche","Ford","Opel",,,,,,
85,"Female",20,"Dodge","Peugeot",,,,,,,,
86,"Male",,"VW","Chrysler","BMW","Opel",,,,,,
87,"Male",38,"Renault","Ford","Daewoo",,,,,,,
88,"Male",37,"Audi","Opel","Honda","VW",,,,,,
89,"Female",,"Dodge","BMW","Toyota","Honda","Audi",,,,,
90,"Male",34,"Toyota","Opel","VW",,,,,,,
91,"Female",23,"BMW","Fiat",,,,,,,,
92,"Female",33,"Audi","Lexus","Chrysler",,,,,,,
93,"Male",36,"VW","Audi",,,,,,,,
94,"Female",,"VW","BMW","Honda","Dodge","Opel","Toyota","Hyundai",,,
95,"Female",48,"Dodge","Chrysler","Renault",,,,,,,
96,"Male",26,"Honda","Ford","Audi","Volvo","BMW","Toyota",,,,
97,"Male",44,"Fiat","Volvo","Daewoo","Lexus",,,,,,
98,"Male",,"Daewoo","Fiat","Audi","Hyundai","Ford","Lexus",,,,
99,"Male",47,"Chrysler","Volvo",,,,,,,,
100,,50,"Toyota","Dodge","Fiat","Audi","Daewoo","Mercedes",,,,
101,"Male",39,"BMW","VW","Chrysler",,,,,,,
102,"Male",40,"Fiat","BMW","Lexus","Ford",,,,,,
103,"Male",44,"Renault","Chrysler","Porsche",,,,,,,
104,"Male",33,"Mercedes","VW","Hyundai",,,,,,,
105,"Male",26,"Fiat","Peugeot",,,,,,,,
106,"Male",55,"Dodge","Audi","Volvo","VW",,,,,,
107,"Male",46,"Mercedes","Ford","Volvo",,,,,,,
108,"Female",40,"Opel","BMW","Toyota","VW",,,,,,
109,"Male",50,"Ford","Daewoo","Lexus","BMW","VW","Toyota","Honda",,,
110,,39,"Volvo","Lexus",,,,,,,,
111,"Female",32,"Honda","Lexus","Volvo","Peugeot","Ford",,,,,
112,"Male",50,"VW","Audi","Fiat","Peugeot","Toyota","Honda","Ford",,,
113,"Male",27,"Opel","VW","BMW","Mercedes","Ford","Chrysler",,,,
114,"Female",21,"Honda","VW","BMW","Volvo","Porsche","Mercedes","Opel",,,
115,"Male",43,"Fiat","Opel","Volvo","Mercedes",,,,,,
116,"Female",30,"VW",,,,,,,,,
117,"Male",27,"VW","Fiat",,,,,,,,
118,"Female",60,"Opel","Renault","Mercedes","VW","Chrysler","Volvo",,,,
119,"Male",56,"Chrysler","Dodge","Daewoo","Ford","Peugeot","Volvo",,,,
120,"Male",29,"Opel","Renault","Daewoo","Hyundai","Volvo","VW","BMW","Lexus",,
121,"Female",,"VW","Hyundai","Peugeot","BMW","Lexus","Honda",,,,
122,"Male",56,"Opel",,,,,,,,,
123,"Female",58,"Daewoo","Audi","Opel","VW",,,,,,
124,"Female",48,"Honda",,,,,,,,,
125,"Male",19,"BMW","Peugeot","Hyundai","Volvo","Lexus","VW","Dodge",,,
126,"Male",43,"VW","Audi","Dodge","Hyundai",,,,,,
127,"Female",,"Dodge","Renault","Ford","Opel","Porsche",,,,,
128,"Male",40,"Dodge","Daewoo","Ford",,,,,,,
129,"Male",43,"BMW",,,,,,,,,
130,"Female",44,"Peugeot","Fiat","Chrysler","Opel","Hyundai","Daewoo","Honda",,,
131,"Male",47,"Hyundai","Daewoo",,,,,,,,
132,"Female",40,"Volvo","VW","Fiat",,,,,,,
133,"Female",45,"VW","Fiat",,,,,,,,
134,"Male",42,"Honda","Dodge","BMW",,,,,,,
135,"Male",40,"Renault",,,,,,,,,
136,"Male",31,"Peugeot",,,,,,,,,
137,"Female",26,"Volvo","Honda","VW","Opel","Mercedes","Renault",,,,
138,,,"Lexus","Opel","Daewoo","Fiat","Ford",,,,,
139,"Female",52,"BMW","Opel","Chrysler","Volvo","Ford",,,,,
140,"Male",43,"Daewoo","Porsche","BMW","Fiat","Toyota",,,,,
141,"Male",36,"Dodge","Fiat","Toyota","Ford","VW","Peugeot","BMW",,,
142,"Female",34,"Opel","Honda",,,,,,,,
143,"Male",44,"BMW","VW",,,,,,,,
144,"Male",38,"VW","Mercedes","Fiat","Dodge",,,,,,
145,"Female",24,"Renault","Opel","Porsche","Peugeot","Dodge","Fiat","VW",,,
146,"Female",32,"Honda",,,,,,,,,
147,"Male",21,"Volvo","Toyota","Ford","Dodge","BMW","Chrysler",,,,
148,"Female",53,"Lexus","BMW","Toyota","Dodge",,,,,,
149,"Female",37,"VW","BMW","Hyundai","Toyota",,,,,,
150,"Female",29,"Honda","Chrysler","Lexus","VW","Daewoo","Renault",,,,
151,"Male",23,"Fiat",,,,,,,,,
152,"Female",,"Daewoo","Ford","Fiat","Honda",,,,,,
153,"Female",44,"VW","Opel","Lexus","Daewoo","Audi","Chrysler","Volvo",,,
154,"Male",36,"Lexus","Audi","VW","Daewoo","Porsche",,,,,
155,"Male",47,"VW","Hyundai","Toyota","Porsche",,,,,,
156,"Female",,"Dodge","Daewoo","Fiat","Chrysler",,,,,,
157,"Male",40,"Dodge","Peugeot",,,,,,,,
158,"Male",36,"VW","Peugeot","Mercedes","BMW","Hyundai",,,,,
159,"Female",57,"Opel","Lexus","Chrysler","Daewoo",,,,,,
160,"Male",40,"Daewoo","Honda","Porsche","BMW",,,,,,
161,"Female",41,"Lexus","Peugeot","Chrysler","Volvo",,,,,,
162,"Male",32,"Daewoo","Toyota",,,,,,,,
163,"Male",36,"Dodge","Opel","Toyota",,,,,,,
164,"Male",51,"Ford","Audi","VW","Opel","BMW","Peugeot","Hyundai",,,
165,"Male",34,"Toyota","Dodge","Volvo","Daewoo",,,,,,
166,"Female",18,"Audi","BMW","VW","Opel","Peugeot","Hyundai","Mercedes","Ford",,
167,"Male",40,"Hyundai","VW","Honda","Opel","Chrysler",,,,,
168,"Female",51,"VW","Toyota",,,,,,,,
169,"Male",38,"Daewoo",,,,,,,,,
170,"Male",33,"BMW","Volvo","Opel","Daewoo","Mercedes","Dodge",,,,
171,"Female",37,"Opel","Hyundai","Audi",,,,,,,
172,"Female",40,"Audi","BMW","Fiat",,,,,,,
173,"Female",35,"VW","Porsche","Toyota","Dodge","Honda","Lexus",,,,
174,"Female",45,"VW","Toyota","Opel","Lexus","Porsche","BMW","Hyundai","Mercedes",,
175,"Female",44,"VW","BMW",,,,,,,,
176,"Male",28,"VW","Volvo","Peugeot","Opel",,,,,,
177,"Male",45,"Ford","Renault","Hyundai",,,,,,,
178,"Male",37,"Mercedes","Dodge",,,,,,,,
179,"Male",42,"VW","Opel","Fiat",,,,,,,
180,"Male",33,"Honda","Fiat","Toyota","Renault","Audi",,,,,
181,"Male",43,"Audi",,,,,,,,,
182,"Male",38,"Hyundai",,,,,,,,,
183,"Female",28,"Volvo","Opel","Dodge",,,,,,,
184,"Male",39,"Peugeot","Dodge","Fiat","Volvo","Hyundai",,,,,
185,"Male",33,"Porsche","BMW","Lexus",,,,,,,
186,"Female",29,"Lexus","Ford","Chrysler","Toyota","Audi","Fiat","BMW","Peugeot",,
187,"Female",34,"Porsche","Fiat","Opel","Daewoo","Chrysler",,,,,
188,"Male",35,"Ford","Fiat",,,,,,,,
189,"Male",48,"BMW","Fiat",,,,,,,,
190,"Female",47,"Porsche","BMW","Dodge","Opel","Hyundai",,,,,
191,"Male",47,"Lexus","Mercedes","Peugeot","Volvo","BMW",,,,,
192,"Male",52,"Daewoo","Chrysler","Audi","Volvo",,,,,,
193,"Male",43,"Opel","Honda","Peugeot",,,,,,,
194,"Female",61,"Toyota","Chrysler","Porsche","VW",,,,,,
195,"Male",39,"BMW","Lexus",,,,,,,,
196,"Male",48,"Toyota","Audi","BMW",,,,,,,
197,"Male",50,"Fiat","VW","Toyota",,,,,,,
198,"Female",43,"VW","Mercedes",,,,,,,,
199,"Male",37,"Opel","Daewoo","BMW","Dodge","Lexus","Renault",,,,
200,"Male",48,"Hyundai","Renault","Daewoo","Chrysler",,,,,,
201,"Female",38,"Ford","Chrysler","Audi",,,,,,,
202,"Male",34,"Peugeot","BMW","Porsche","Dodge","Mercedes",,,,,
203,"Female",54,"VW","Daewoo","Ford","Peugeot",,,,,,
204,"Male",42,"Toyota","Porsche","Opel","Chrysler",,,,,,
205,"Male",41,"Audi","Mercedes","VW",,,,,,,
206,"Female",31,"Dodge","Renault","VW","Chrysler","Hyundai","Fiat","Ford",,,
207,"Male",39,"Porsche","VW","Dodge","Ford",,,,,,
208,"Male",34,"VW","BMW","Toyota","Porsche",,,,,,
209,"Female",33,"Mercedes","VW","Renault","Opel","Ford","Audi","Fiat",,,
210,"Female",41,"Mercedes","VW","Audi","BMW",,,,,,
211,"Female",50,"VW","Toyota","BMW",,,,,,,
212,"Male",54,"Ford","VW","Mercedes","Hyundai","BMW","Opel","Toyota",,,
213,"Male",30,"VW","Dodge","Audi",,,,,,,
214,"Male",37,"Daewoo","Chrysler","Toyota",,,,,,,
215,"Male",43,"VW","BMW","Opel",,,,,,,
216,"Male",51,"Opel","Fiat","Lexus","Daewoo","Chrysler",,,,,
217,"Female",42,"BMW",,,,,,,,,
218,"Male",42,"Peugeot","Porsche","Volvo",,,,,,,
219,"Female",30,"Audi","Opel","Lexus",,,,,,,
220,"Male",51,"BMW",,,,,,,,,
221,"Female",25,"VW","Dodge","Volvo","Chrysler","Honda",,,,,
222,"Male",47,"Mercedes","Audi","Peugeot",,,,,,,
223,"Male",44,"Daewoo","VW","Renault","Volvo","Peugeot","Fiat","Opel","Dodge","BMW",
224,"Male",44,"Honda","Dodge","Hyundai",,,,,,,
225,"Male",40,"Hyundai",,,,,,,,,
226,"Female",21,"VW","Dodge","Ford","Hyundai",,,,,,
227,"Male",41,"Toyota","Ford","Porsche",,,,,,,
228,"Female",36,"BMW","Daewoo","Renault","Volvo","Porsche","VW","Audi","Ford",,
229,"Male",,"VW","Daewoo","Lexus","Honda",,,,,,
230,"Male",35,"Volvo","Porsche","Lexus","BMW","Daewoo","Toyota","Mercedes",,,
231,,28,"BMW","Fiat","Ford","Porsche","Honda","Volvo","Opel",,,
232,"Male",29,"VW",,,,,,,,,
233,"Male",36,"Ford","Daewoo",,,,,,,,
234,"Male",36,"Opel","Ford","Fiat",,,,,,,
235,"Female",39,"VW","Porsche","Fiat","Toyota",,,,,,
236,"Male",36,"VW","Porsche","Ford","Mercedes",,,,,,
237,"Male",50,"VW",,,,,,,,,
238,"Male",31,"VW","Fiat","Honda","Opel","Daewoo","Volvo","Audi","Renault",,
239,"Male",36,"BMW","Opel","Toyota","Daewoo",,,,,,
240,"Male",28,"Audi","Toyota",,,,,,,,
241,"Male",33,"Opel","Porsche","Audi",,,,,,,
242,"Male",30,"Renault","Ford","VW","Daewoo","Lexus","Volvo","BMW","Opel","Dodge",
243,"Male",27,"Honda","Daewoo","Toyota","Mercedes","Renault","Ford",,,,
244,"Male",31,"Peugeot","Honda","Mercedes",,,,,,,
245,"Female",42,"Audi",,,,,,,,,
246,"Female",47,"Peugeot","Audi","Volvo","Daewoo","Hyundai","BMW",,,,
247,"Female",34,"Dodge","Volvo",,,,,,,,
248,"Female",40,"BMW","Opel","Lexus","Toyota","Audi","Fiat","Dodge",,,
249,"Male",41,"VW","Toyota","Chrysler","Audi","Volvo",,,,,
250,"Female",44,"Opel","Renault","Dodge","VW","BMW","Lexus","Audi",,,
251,,51,"Fiat","VW",,,,,,,,
252,"Male",45,"Daewoo","VW","Ford",,,,,,,
253,"Male",27,"Daewoo","Toyota","Hyundai",,,,,,,
254,"Female",41,"Dodge","Ford","Daewoo",,,,,,,
255,"Female",55,"Lexus","Porsche","VW","Daewoo","Honda","BMW",,,,
256,"Male",40,"BMW","Opel","Chrysler","Renault",,,,,,
257,"Male",38,"Audi","Ford",,,,,,,,
258,"Male",46,"Fiat","BMW","Daewoo",,,,,,,
259,"Female",50,"BMW","Mercedes",,,,,,,,
260,"Female",51,"Fiat","VW","Ford","Daewoo",,,,,,
261,"Female",37,"Hyundai","Dodge","Audi",,,,,,,
262,"Female",36,"BMW","Chrysler","Opel","Toyota",,,,,,
263,"Male",29,"VW","Daewoo","Ford","Fiat","Lexus",,,,,
264,"Female",57,"Dodge","Opel","Peugeot",,,,,,,
265,"Female",,"Fiat","Opel",,,,,,,,
266,"Male",46,"BMW","Renault","Ford","Daewoo","Dodge",,,,,
267,"Male",40,"BMW","Opel","Honda","Hyundai",,,,,,
268,"Male",39,"Mercedes","Audi",,,,,,,,
269,"Male",25,"Chrysler","Fiat","Daewoo","Dodge","Opel","Audi",,,,
270,"Female",40,"Fiat","Lexus",,,,,,,,
271,"Male",,"Volvo","Ford","Fiat",,,,,,,
272,"Male",38,"Fiat","VW","Chrysler",,,,,,,
273,"Male",55,"Fiat","Daewoo",,,,,,,,
274,"Female",38,"Honda","Hyundai","BMW","Fiat",,,,,,
275,"Male",31,"Ford","BMW",,,,,,,,
276,"Male",63,"Mercedes",,,,,,,,,
277,"Female",48,"Mercedes",,,,,,,,,
278,"Male",,"Volvo","BMW","VW","Fiat","Opel","Chrysler",,,,
279,"Male",40,"Dodge","BMW","Mercedes","Audi","VW",,,,,
280,"Male",39,"Porsche","Toyota",,,,,,,,
281,,43,"Porsche","VW","Volvo","Fiat","Lexus",,,,,
282,"Female",,"Lexus","Opel","Chrysler",,,,,,,
283,"Male",26,"Hyundai","Fiat","Audi","Ford","Lexus","BMW",,,,
284,"Male",37,"Renault","Audi","Ford",,,,,,,
285,"Male",43,"Fiat","Toyota","VW",,,,,,,
286,"Male",24,"VW","Renault","Honda",,,,,,,
287,"Female",,"VW","Ford","Dodge","Audi","Mercedes","Lexus","Toyota","Daewoo",,
288,"Male",35,"Fiat","VW","Porsche",,,,,,,
289,"Male",42,"Ford","Audi","Renault","Opel",,,,,,
290,"Male",32,"Dodge","VW","Renault","Ford",,,,,,
291,"Male",32,"Daewoo","Volvo","Hyundai",,,,,,,
292,"Female",25,"Volvo","Peugeot","BMW","VW","Dodge",,,,,
293,"Female",40,"Peugeot","Porsche","VW","BMW","Hyundai","Ford",,,,
294,"Male",55,"Volvo","Hyundai","Opel","Fiat","Chrysler","Mercedes","Porsche",,,
295,"Male",27,"Lexus",,,,,,,,,
296,"Male",22,"Fiat","Mercedes","Opel","Toyota","Audi",,,,,
297,"Male",39,"Fiat","Dodge","VW","Daewoo","Ford","Volvo","Porsche",,,
298,"Female",27,"Audi","Toyota","Chrysler","BMW","Ford","Lexus","Volvo",,,
299,"Female",27,"Dodge","Daewoo","Toyota","Volvo","Honda","Audi","BMW","Peugeot",,
300,"Male",34,"Hyundai","Honda","BMW","Opel","Dodge","Lexus","Toyota",,,
301,"Male",48,"VW","Opel","BMW",,,,,,,
302,"Male",38,"Ford","VW","BMW","Mercedes","Fiat","Peugeot","Opel",,,
303,"Female",46,"Renault","Dodge","Peugeot","Lexus","Fiat","VW","Ford","Volvo",,
304,"Female",40,"Renault","Porsche","BMW","Ford",,,,,,
305,"Male",49,"Opel","Fiat","Toyota",,,,,,,
306,"Female",34,"Renault","Volvo","Peugeot",,,,,,,
307,"Female",55,"Fiat","Opel",,,,,,,,
308,"Male",42,"Toyota","VW",,,,,,,,
309,"Male",28,"Opel","Audi","Ford","Lexus",,,,,,
310,"Female",42,"Porsche","Daewoo","BMW","VW",,,,,,
311,"Male",61,"BMW","Mercedes",,,,,,,,
312,"Male",57,"Chrysler","Dodge","Ford","Lexus",,,,,,
313,"Male",,"VW","Fiat","Peugeot",,,,,,,
314,"Male",26,"Dodge","Opel","VW","Renault","Honda",,,,,
315,"Female",45,"Mercedes","Renault","BMW","Toyota","Daewoo",,,,,
316,"Male",26,"Audi",,,,,,,,,
317,"Male",41,"Volvo","VW","Fiat",,,,,,,
318,"Female",37,"Audi","Opel","Honda","VW","Peugeot",,,,,
319,"Male",41,"Volvo","Ford","Audi",,,,,,,
320,"Male",35,"Toyota",,,,,,,,,
321,"Female",52,"Lexus","Daewoo","Audi",,,,,,,
322,"Female",,"Volvo","VW","Audi","Fiat","Renault","Honda","Lexus",,,
323,"Female",18,"Porsche","BMW","Daewoo","VW","Renault","Audi",,,,
324,"Female",,"Fiat","Honda","Daewoo","Renault",,,,,,
325,"Female",49,"Dodge","Mercedes","Fiat",,,,,,,
326,"Male",36,"Ford","Porsche",,,,,,,,
327,"Female",27,"Volvo","BMW","Daewoo","VW","Honda","Fiat","Ford",,,
328,"Male",36,"BMW","Porsche","VW","Opel",,,,,,
329,"Male",52,"VW","Lexus",,,,,,,,
330,"Female",36,"BMW","Peugeot",,,,,,,,
331,"Male",34,"Opel","Fiat","Honda","Audi","Lexus",,,,,
332,"Female",52,"Dodge","Audi","BMW","Opel","Mercedes","Volvo","VW",,,
333,"Male",33,"Honda","Peugeot",,,,,,,,
334,"Female",44,"Lexus","BMW","Porsche","Renault","Chrysler","Hyundai",,,,
335,"Male",37,"Ford","Renault","BMW",,,,,,,
336,"Female",51,"VW","Hyundai","Honda","Renault","Volvo","Toyota","Ford",,,
337,"Male",27,"Fiat","VW","Peugeot",,,,,,,
338,"Female",32,"BMW","Mercedes","Hyundai","Chrysler",,,,,,
339,"Male",45,"Toyota",,,,,,,,,
340,"Male",56,"VW","Toyota",,,,,,,,
341,"Female",18,"Volvo","Daewoo","BMW","Porsche",,,,,,
342,"Male",30,"Audi","Porsche",,,,,,,,
343,"Male",,"Peugeot","Hyundai","Toyota","Ford",,,,,,
344,"Female",30,"Volvo",,,,,,,,,
345,"Male",28,"VW","Dodge","Mercedes","BMW","Toyota",,,,,
346,"Male",47,"Audi","Ford","Honda","BMW",,,,,,
347,"Male",37,"Lexus",,,,,,,,,
348,"Female",21,"Toyota","Porsche","BMW","Volvo","VW","Opel","Hyundai","Ford",,
349,"Male",25,"Toyota","Audi","Volvo",,,,,,,
350,"Female",,"Audi","VW","Ford",,,,,,,
351,"Female",42,"VW",,,,,,,,,
352,"Male",38,"Chrysler",,,,,,,,,
353,"Male",43,"VW","Audi","Dodge","Honda","Hyundai","Volvo","Peugeot","Porsche",,
354,"Male",34,"BMW","Opel","Peugeot","Renault","Toyota","Lexus","Hyundai","Mercedes","Honda",
355,,33,"Porsche","Ford","Peugeot","Toyota","Volvo","Lexus","Fiat",,,
356,"Male",41,"Fiat","Lexus","BMW","Peugeot",,,,,,
357,"Male",51,"Opel","Volvo","Honda",,,,,,,
358,"Female",43,"Dodge","Porsche","VW",,,,,,,
359,"Female",25,"VW","Daewoo","Ford","Chrysler","Opel",,,,,
360,"Male",35,"VW","Ford",,,,,,,,
361,"Male",,"VW","Fiat","Peugeot",,,,,,,
362,"Female",40,"Renault","Fiat","Toyota",,,,,,,
363,"Male",,"Dodge","BMW","Daewoo","Opel","Porsche",,,,,
364,"Male",34,"VW","Fiat","Honda","Peugeot","Volvo","Ford","Lexus",,,
365,"Male",18,"Mercedes",,,,,,,,,
366,"Male",43,"Audi","Daewoo","Opel","Honda","Dodge","Lexus","Ford",,,
367,"Female",36,"Fiat","VW",,,,,,,,
368,"Female",31,"Opel","Porsche","Lexus",,,,,,,
369,"Female",22,"VW","Audi","Daewoo","Honda","Dodge",,,,,
370,"Male",38,"Audi","Opel",,,,,,,,
371,"Male",56,"Toyota","Daewoo","Ford","VW",,,,,,
372,"Male",43,"Ford","Audi","VW",,,,,,,
373,"Male",33,"Opel","VW","Audi","Chrysler",,,,,,
374,"Male",51,"VW",,,,,,,,,
375,"Female",35,"VW","Porsche","Ford","Dodge","Peugeot","BMW","Audi",,,
376,"Male",33,"Porsche","Renault","Fiat",,,,,,,
377,"Female",52,"Honda","Daewoo","Volvo","Toyota","BMW","Hyundai","Audi","VW","Fiat",
378,"Female",31,"Opel","VW",,,,,,,,
379,"Female",45,"Opel","Ford",,,,,,,,
380,"Male",42,"Fiat","Dodge","Hyundai","Lexus","Honda","Peugeot",,,,
381,"Female",26,"Audi","VW","Dodge","Opel","Toyota",,,,,
382,"Male",22,"Renault","VW","Ford","Opel",,,,,,
383,"Female",53,"Fiat","VW","Opel","Honda",,,,,,
384,"Female",39,"VW","BMW","Fiat","Ford","Honda",,,,,
385,"Female",33,"Lexus","Fiat","Ford","Daewoo","Toyota",,,,,
386,"Male",38,"Chrysler","VW","Audi","Lexus",,,,,,
387,"Male",,"Audi",,,,,,,,,
388,"Female",40,"Daewoo","Hyundai","Ford",,,,,,,
389,"Male",31,"Daewoo","VW",,,,,,,,
390,"Male",,"BMW","Fiat","Renault","VW","Ford",,,,,
391,"Female",55,"Toyota","Dodge","Daewoo","Audi","Renault",,,,,
392,"Male",37,"Toyota",,,,,,,,,
393,"Female",,"Toyota","VW","BMW","Dodge","Hyundai","Ford",,,,
394,"Male",39,"Daewoo","VW","Honda","Porsche","Mercedes","BMW",,,,
395,"Female",,"Porsche","Opel","BMW","Lexus","Peugeot","Fiat","VW",,,
396,"Female",46,"Chrysler","VW","Volvo","Lexus","Toyota","Fiat","Ford","Honda","Mercedes","Peugeot"
397,"Female",40,"Volvo","Peugeot","Lexus","Opel","BMW",,,,,
398,"Female",20,"VW","BMW","Honda","Toyota",,,,,,
399,"Male",29,"Porsche","Daewoo","Chrysler","Hyundai",,,,,,
400,"Male",24,"Peugeot","VW","BMW","Lexus","Hyundai","Toyota",,,,
401,"Female",22,"Fiat","Chrysler","Peugeot",,,,,,,
402,"Male",40,"BMW","Fiat","Volvo","Toyota","Ford",,,,,
403,"Male",,"Renault","Opel",,,,,,,,
404,"Female",29,"Porsche","BMW",,,,,,,,
405,"Female",44,"Opel","Audi","Fiat","BMW","Honda","Renault",,,,
406,"Female",,"Ford","Porsche","Volvo","Audi","Opel",,,,,
407,,25,"BMW","Ford","Fiat","Hyundai",,,,,,
408,"Male",39,"Lexus","Mercedes",,,,,,,,
409,"Female",47,"VW","Porsche","Ford",,,,,,,
410,"Male",49,"BMW","Ford","VW","Hyundai",,,,,,
411,"Female",37,"Dodge","Toyota",,,,,,,,
412,"Female",44,"Fiat","Volvo","Opel",,,,,,,
413,"Female",30,"VW","Peugeot","Lexus",,,,,,,
414,"Male",49,"Audi","Daewoo",,,,,,,,
415,"Female",50,"Volvo","Chrysler","Honda","VW","Daewoo","Lexus","Toyota","Audi",,
416,"Female",30,"Dodge","Opel","Peugeot","Chrysler",,,,,,
417,"Male",39,"Mercedes","Ford","BMW","Lexus",,,,,,
418,"Male",36,"VW","Honda","BMW",,,,,,,
419,"Female",37,"BMW","Lexus","Toyota","Ford","Dodge","VW",,,,
420,"Female",29,"Volvo","Audi","BMW","Lexus","Fiat","Toyota","Opel",,,
